page,country,rev_id,Geography,Population mid-2018 (millions)
George Angene,Cook Island,763769688,,
Albert (Peto) Nicholas,Cook Island,763770488,,
Tupou Faireka,Cook Island,763774025,,
Mark Brown (Cook Islands),Cook Island,763774066,,
Nandi Glassie,Cook Island,763774069,,
Apii Piho,Cook Island,763775030,,
Winton Pickering,Cook Island,763775034,,
Albert Nicholas (Cook Islands),Cook Island,763775035,,
Vincent Ingram,Cook Island,763775867,,
Terepai Maoate Jnr,Cook Island,763775893,,
Toanui Isamaela,Cook Island,763776103,,
Tangata Vavia,Cook Island,763776191,,
Taunga Toka,Cook Island,763776193,,
Teremoana Tapi Taio,Cook Island,763776229,,
Tepure Tapaitau,Cook Island,763776231,,
Mapu Taia,Cook Island,763776235,,
Pupuke Robati,Cook Island,763776270,,
Wilkie Rasmussen,Cook Island,763776271,,
Tai Tura,Cook Island,763776737,,
Tekii Lazaro,Cook Island,763776768,,
Kura Strickland,Cook Island,763776806,,
Mii Parima,Cook Island,763776808,,
Joe Williams (Cook Islands politician),Cook Island,763776856,,
Kiriau Turepu,Cook Island,763776860,,
John Landau,Rhodesian,763870152,,
Germain Kambinga,"Congo, Dem. Rep. of",763943185,,
Byron Hove,Rhodesian,763951988,,
Haruo Remeliik,Palauan,764341685,,
Henri Konan Bédié,Ivorian,764345360,,
List of colonial and departmental heads of Guadeloupe,Guadeloupe,764397748,,
Richard Fell,Pitcairn Islands,764601118,,
Juan Alberto Melgar Castro,Hondura,764646645,,
Richard Ndambu Wolang,"Congo, Dem. Rep. of",764771546,,
Simon Mbatshi Batshia,"Congo, Dem. Rep. of",764771615,,
José Makila Sumanda,"Congo, Dem. Rep. of",764771652,,
Trésor Kapuku Ngoy,"Congo, Dem. Rep. of",764771697,,
Charles Mwando Simba,"Congo, Dem. Rep. of",764791046,,
Roman Tmetuchl,Palauan,765032190,,
Vice President of Palau,Palauan,765102210,,
Paul Niger,Guadeloupe,765272796,,
Henry Juta,Cape Colony,765333482,,
David Joaquín Guzmán,Salvadoran,765528693,,
Jules Fontaine Sambwa,"Congo, Dem. Rep. of",765570258,,
Fernanda Borges,East Timorese,765600414,,
Beibulat Taimiev,Chechen,765616552,,
Faisal Husseini,Palestinian Territory,765742925,,
Mabi Mulumba,"Congo, Dem. Rep. of",765799138,,
N'Singa Udjuu,"Congo, Dem. Rep. of",765799213,,
Sultani Makenga,"Congo, Dem. Rep. of",765834828,,
Petr Mlsna,Czech Republic,765838180,,
Josué Alex Mukendi,"Congo, Dem. Rep. of",765871730,,
Raymond Tshibanda,"Congo, Dem. Rep. of",765923988,,
Banza Mukalay,"Congo, Dem. Rep. of",765924619,,
Évariste Boshab,"Congo, Dem. Rep. of",765925554,,
Jóannes Eidesgaard,Faroese,765947137,,
Jógvan á Lakjuni,Faroese,765947416,,
Atapana Siakimotu,Niuean,766068997,,
Ahohiva Levi,Niuean,766068998,,
Bill Vakaafi Motufoou,Niuean,766069253,,
Pokotoa Sipeli,Niuean,766069256,,
Terry Coe,Niuean,766069372,,
Togiavalu Pihigia,Niuean,766069407,,
Hima Douglas,Niuean,766069520,,
Dalton Tagelagi,Niuean,766069576,,
Lyudvig Chibirov,South Ossetian,766130279,,
Vernon Tomes,Jersey,766480006,,
Affoussiata Bamba-Lamine,Ivorian,766524815,,
Marie-Ange Mushobekwa,"Congo, Dem. Rep. of",766647953,,
Francisco Gómez (El Salvador President),Salvadoran,766757526,,
Haidar Abdel-Shafi,Palestinian Territory,766784372,,
Inatio Akaruru,Cook Island,766806728,,
Nasser al-Shaer,Palestinian Territory,766840809,,
Hilary Squires,Rhodesian,766847256,,
Omar Abd al-Razaq,Palestinian Territory,766847361,,
Terepai Maoate,Cook Island,767048874,,
Deputy Prime Minister of the Cook Islands,Cook Island,767048881,,
Achille René-Boisneuf,Guadeloupe,767102866,,
"Azzan bin Qais, Sultan of Muscat and Oman",Omani,767183600,,
Surangel Whipps Jr.,Palauan,767195006,,
Maurice Antiste,Martinique,767223939,,
Lambert Amon Tanoh,Ivorian,767265950,,
Paul Adolphe Marie Prosper Granier de Cassagnac,Guadeloupe,767288808,,
Paul Alan Cox,Samoan,767363297,,
Adnan al-Husayni,Palestinian Territory,767482479,,
Simeon Jacobs,Cape Colony,767856232,,
Ziad Abu Amr,Palestinian Territory,767881055,,
Taimur bin Feisal,Omani,767885927,,
Atatoa Herman,Cook Island,767994335,,
Antonín Cyril Stojan,Czech Republic,768047769,,
Jean Andeka,"Congo, Dem. Rep. of",768228272,,
Jean-Louis Billon,Ivorian,768302622,,
Ziad Abuzayyad,Palestinian Territory,768374386,,
Ambrose Sherwill,Guernsey,768625520,,
Aimé Ngoy Mukena,"Congo, Dem. Rep. of",768670214,,
František Kubka,Czech Republic,768676716,,
David G. P. Taylor,Montserratian,768679602,,
Azzam al-Ahmad,Palestinian Territory,769135700,,
Leila Shahid,Palestinian Territory,769328020,,
Ivan Tavčar,Carniolan,769425247,,
Francisco Dueñas,Salvadoran,769575358,,
Robert Beugré Mambé,Ivorian,769591168,,
Michael Jackson (journalist),Niuean,770018880,,
Sarita Francis,Montserratian,770131970,,
Kim Wan-ju,South Korean,770622878,,
Park Yong-jin,South Korean,770623036,,
Rafael Zaldívar,Salvadoran,770682721,,
Abdourahmane Cissé,Ivorian,770710515,,
Lee Jong-kul,South Korean,770757174,,
Aleqa Hammond,Greenlandic,770757601,,
Kim Hyun-jong,South Korean,770760118,,
Richard Frederick,Saint Lucian,770812205,,
Oliver Plunkett (judge),Saint Lucian,770813700,,
Gale Rigobert,Saint Lucian,770814043,,
Frederick Ballantyne,Saint Vincent and the Grenadines,770827509,,
Terrance Ollivierre,Saint Vincent and the Grenadines,770829069,,
Duncan MacIntyre (New Zealand politician),Tokelauan,770994352,,
Milton Cato,Saint Vincent and the Grenadines,771015590,,
William Schreiner,Cape Colony,771024710,,
Enetama Lipitoa,Niuean,771152922,,
Sharm El Sheikh Memorandum,Palestinian Territory,771217707,,
Tuala Falenaoti Tiresa Malietoa,Samoan,771267864,,
David Brandt (politician),Montserratian,771351774,,
Bertrand Osborne,Montserratian,771351955,,
Percival Austin Bramble,Montserratian,771352057,,
Russell Marshall,Tokelauan,771460602,,
Toi Aukuso Cain,Samoan,771651038,,
Aimé Boji,"Congo, Dem. Rep. of",772045942,,
Isa Gendergenoevsky,Chechen,772274868,,
Léonard Mulamba,"Congo, Dem. Rep. of",772317052,,
"Kruger House, Pretoria",South African Republic,772410051,,
Noel K Tshiani Muadiamvita,"Congo, Dem. Rep. of",772818039,,
Nicolau dos Reis Lobato,East Timorese,772890380,,
Hussein al-Husayni,Palestinian Territory,773002344,,
Victor Sévère,Martinique,773080765,,
Riyad al-Maliki,Palestinian Territory,773227993,,
Philip Bailhache,Jersey,773230341,,
Heraldine Rock,Saint Lucian,773251387,,
Jean Poingdestre,Jersey,773316732,,
Alfonso Oiterong,Palauan,773405868,,
Vilma Cecilia Morales,Hondura,773563309,,
Josef Pfitzner,Czech Republic,773853256,,
Anfinn Kallsberg,Faroese,773895078,,
Kasongo Ilunga,"Congo, Dem. Rep. of",774263410,,
Shin Ki-ha,South Korean,774367693,,
Head of the Republic of North Ossetia-Alania,Ossetian,774555176,,
Peter Hanning,Jersey,774568909,,
Vladimír Franz,Czech Republic,774595725,,
Pierre Lumbi Okongo,"Congo, Dem. Rep. of",774679596,,
Vice-President of Ivory Coast,Ivorian,774756970,,
Vance Amory,Saint Kitts and Nevis,774778329,,
Yasser Abed Rabbo,Palestinian Territory,774821388,,
Cecil Dennistoun Burney,Rhodesian,774837666,,
Óscar Ortiz (El Salvador),Salvadoran,774857245,,
"Turki bin Said, Sultan of Muscat and Oman",Omani,774877670,,
Lee Chunhee,South Korean,775234175,,
Peter Josie,Saint Lucian,775241473,,
Ahn Dae-hee,South Korean,775458263,,
Ahn Gyu-baek,South Korean,775458608,,
Park Hong-keun,South Korean,775458639,,
George Strahan,Cape Colony,775481498,,
Isra al-Modallal,Palestinian Territory,775535912,,
Jamal Abu Samhadana,Palestinian Territory,775898615,,
Sani Lakatani,Niuean,775947817,,
Jan Stocklassa,Czech Republic,776095794,,
Jaroslav Krejčí,Czech Republic,776197284,,
Sufian Abu Zaida,Palestinian Territory,776289919,,
Boekenhoutfontein,South African Republic,776299184,,
Libuše Benešová,Czech Republic,776338134,,
Daniela Filipiová,Czech Republic,776338195,,
Jean Konan Banny,Ivorian,776348888,,
Jeannette Kavira Mapera,"Congo, Dem. Rep. of",776372644,,
Jeannine Compton-Antoine,Saint Lucian,776374386,,
Taysir Khalid,Palestinian Territory,776386870,,
Moses Porges von Portheim,Czech Republic,776487173,,
Jan Kasl,Czech Republic,776508129,,
Jiří Kittner,Czech Republic,776509425,,
Miloslav Vlček,Czech Republic,776513404,,
Ivo Svoboda (politician),Czech Republic,776513552,,
Hana Orgoníková,Czech Republic,776513802,,
Pavel Dostál,Czech Republic,776514175,,
John Bardwell Ebden,Cape Colony,776725178,,
Jiří Lobkowicz,Czech Republic,776751749,,
Ibrahim Nassar,Palestinian Territory,776831011,,
Ahn Sang-yeong,South Korean,777008205,,
Anwar Khatib,Palestinian Territory,777026878,,
Jang Deok-jin,South Korean,777070214,,
Johnson Toribiong,Palauan,777304756,,
Carlos Zúñiga Figueroa,Hondura,777334919,,
Josip Jurčič,Carniolan,777587526,,
Josip Vošnjak,Carniolan,777588436,,
José Adolfo Alvarado Lara,Hondura,777592070,,
José Damián Villacorta,Salvadoran,777601256,,
José Escolástico Marín,Salvadoran,777602660,,
José María Cornejo,Salvadoran,777612972,,
José María Peralta Lagos,Salvadoran,777613551,,
José María San Martín,Salvadoran,777613737,,
José María Silva,Salvadoran,777613786,,
Juan Carlos Zuniga,Hondura,777669643,,
Juan Manuel Rodríguez,Salvadoran,777685186,,
Juan Vicente Villacorta Díaz,Salvadoran,777698313,,
Julio Lozano Díaz,Hondura,777796210,,
Bohuslav Kokotek,Czech Republic,777876483,,
Alena Hanáková,Czech Republic,778095433,,
Katrine Larsen Lenner,Greenlandic,778461046,,
Edmund Wickham Lawrence (Governor-General),Saint Kitts and Nevis,778464259,,
Juan José Daboub,Salvadoran,778564487,,
Kerai Mariur,Palauan,778679721,,
Kete Ioane,Cook Island,778717694,,
Tom Davis (Cook Islands politician),Cook Island,778763952,,
Niki Rattle,Cook Island,778789714,,
Kim Jae-soon,South Korean,778915319,,
Kim Jin-sun,South Korean,778916810,,
Jamil Majdalawi,Palestinian Territory,779034357,,
Jan Hendrik Hofmeyr (Onze Jan),Cape Colony,779046359,,
William Alfred Young,Pitcairn Islands,779056744,,
Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366,,
Rabiha Diab,Palestinian Territory,779367907,,
O'Love Jacobsen,Niuean,779369629,,
Sisilia Talagi,Niuean,779369671,,
Salilo Tongia,Niuean,779369724,,
Va'aiga Tukuitonga,Niuean,779369750,,
Ada Mae Edwards,Saint Kitts and Nevis,779378782,,
Constance V. Mitcham,Saint Kitts and Nevis,779379168,,
Irena Kočí,Czech Republic,779417455,,
Martin Netolický,Czech Republic,779417738,,
David Rath,Czech Republic,779418369,,
Eva Nováková,Czech Republic,779498276,,
Vojtěch Adam,Czech Republic,779500408,,
Vlastimil Balín,Czech Republic,779500749,,
Jiří Dolejš,Czech Republic,779500957,,
Zuzka Bebarová-Rujbrová,Czech Republic,779501010,,
Marie Stiborová,Czech Republic,779501096,,
Jiří Svoboda (politician),Czech Republic,779501161,,
Miloslava Vostrá,Czech Republic,779501194,,
Jiří Čeřovský,Czech Republic,779501654,,
Jan Korger,Czech Republic,779501783,,
Kim Il-ung,South Korean,779544705,,
Koo Kyo-hyun,South Korean,779544873,,
Juan Carlos Valenzuela (politician),Hondura,779557210,,
Adalgisa Ximenes,East Timorese,779579546,,
Kateřina Jacques,Czech Republic,779581127,,
Jacqueline Oble,Ivorian,779741800,,
Tomáš Chalupa,Czech Republic,779839245,,
Pavel Blažek,Czech Republic,779839319,,
Aleš Řebíček,Czech Republic,779839400,,
Ivan Langer,Czech Republic,779839455,,
Jan Stráský,Czech Republic,779839492,,
Jan Chvojka,Czech Republic,779842639,,
Marie Benešová,Czech Republic,779847262,,
Juraj Chmiel,Czech Republic,779847492,,
Daniela Kovářová,Czech Republic,779847531,,
Rostislav Vondruška,Czech Republic,779847687,,
Martin Štěpánek (actor),Czech Republic,779847799,,
Helena Třeštíková,Czech Republic,779847837,,
Milena Vicenová,Czech Republic,779847883,,
Jaroslav Bašta,Czech Republic,779848743,,
Josef Lux,Czech Republic,779849059,,
Miroslav Macek,Czech Republic,779849258,,
Ladislav Miko,Czech Republic,779849694,,
Džamila Stehlíková,Czech Republic,779849767,,
José Arturo Vásquez Machado,Salvadoran,779894617,,
Andrés del Valle,Salvadoran,779931580,,
Vice-Presidents of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",780035740,,
Jozef Moravčík,Czech Republic,780051829,,
Ji Sang-wook,South Korean,780227423,,
Lenard Montoute,Saint Lucian,780250934,,
Mark Partridge,Rhodesian,780260926,,
Janez Bleiweis,Carniolan,780281974,,
Milan Uhde,Czech Republic,780321961,,
Kaj Leo Johannesen,Faroese,780361487,,
František Pitra,Czech Republic,780534080,,
Oldřich Černík,Czech Republic,780534267,,
Maliina Abelsen,Greenlandic,780537008,,
Rigmor Dam,Faroese,780543271,,
Hanna Jensen,Faroese,780543417,,
Sonja Jógvansdóttir,Faroese,780543635,,
Karin Kjølbro,Faroese,780543692,,
Lilian Mercedes Letona,Salvadoran,780552804,,
Carlos Quintanilla Schmidt,Salvadoran,780701356,,
Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep. of",780757242,,
Muagututagata Peter Ah Him,Samoan,780759402,,
Otakar Motejl,Czech Republic,780868492,,
Ludwig Czech,Czech Republic,780887131,,
Rudolf Beran,Czech Republic,780921783,,
Enrique Álvarez Córdova,Salvadoran,781102914,,
Chung Hong-won,South Korean,781133659,,
Kim Byong-joon,South Korean,781134255,,
Winston Pond,Montserratian,781452925,,
Jóannes Patursson,Faroese,781915668,,
Victor Adler,Czech Republic,782058966,,
Ahmed Hilmi Pasha,Palestinian Territory,782105397,,
Sua Rimoni Ah Chong,Samoan,782134923,,
Louis Alphonse Koyagialo,"Congo, Dem. Rep. of",782350026,,
Louis George (politician),Saint Lucian,782356881,,
Emil Beier,Czech Republic,782384016,,
Ibragim Khultygov,Chechen,782430810,,
Luamanuvao Winnie Laban,Samoan,782465136,,
Hong Ihk-pyo,South Korean,782498395,,
Arturo Araujo,Salvadoran,782520448,,
Prime Minister of Rhodesia,Rhodesian,782602484,,
Luzolo Bambi Lessa,"Congo, Dem. Rep. of",782618365,,
Akhsarbek Galazov,Ossetian,782634776,,
Jeon Soon-ok,South Korean,782649404,,
Rubén Alonso Rosales,Salvadoran,782652818,,
President of Palau,Palauan,782714724,,
Governor of Pitcairn,Pitcairn Islands,782764117,,
Order of Merit of Samoa,Samoan,782768517,,
Jonas Mukamba Kadiata Nzemba,"Congo, Dem. Rep. of",782825984,,
Majida Al-Masri,Palestinian Territory,783041670,,
Bruno Kafka,Czech Republic,783065752,,
Badr bin Saud al Busaidi,Omani,783116680,,
Leo Cardwell Ross,Rhodesian,783150296,,
Josiah Gondo,Rhodesian,783150589,,
Charles Abercrombie Smith,Cape Colony,783249147,,
Charles Brownlee,Cape Colony,783250295,,
Dunduzu Chisiza,Rhodesian,783301534,,
Marcel Gargar,Guadeloupe,783350704,,
Arthur Z'ahidi Ngoma,"Congo, Dem. Rep. of",783354232,,
Marcella Liburd,Saint Kitts and Nevis,783358108,,
State President of the South African Republic,South African Republic,783371989,,
Mariano Prado,Salvadoran,783472679,,
Mario Alexander Barahona Martínez,Hondura,783532382,,
Mario Canahuati,Hondura,783534612,,
Mario Michel,Saint Lucian,783539672,,
Sapa'u Ruperake Petaia,Samoan,783679600,,
Lucie Talmanová,Czech Republic,783711789,,
Martin Mejstřík,Czech Republic,783737915,,
Martin Williams (diplomat),Pitcairn Islands,783746509,,
Mary Rose Tuitt,Montserratian,783821985,,
María Sumire,Incan,783850857,,
Movladi Udugov,Chechen,783907075,,
Matías Funes,Hondura,784048015,,
Dean of Jersey,Jersey,784051930,,
Vlastimil Tusar,Czech Republic,784145485,,
Doku Zavgayev,Chechen,784167327,,
Emile Mota,"Congo, Dem. Rep. of",784182810,,
Mark Brantley,Saint Kitts and Nevis,784208810,,
Emil Ghuri,Palestinian Territory,784373796,,
Ernest Boka,Ivorian,784395089,,
Le Mamea Ropati,Samoan,784413731,,
Erlendur Patursson,Faroese,784440060,,
"Alexander Coutanche, Baron Coutanche",Jersey,784462137,,
Pío Romero Bosque,Salvadoran,784506431,,
Allan Ross Welsh,Rhodesian,784562559,,
Ali Jarbawi,Palestinian Territory,784662302,,
Frederick Tutu Goodwin,Cook Island,784686871,,
Geoffrey Rowland,Guernsey,784691815,,
George Cathcart,Cape Colony,784693349,,
Henry Harvey Williams,Saint Vincent and the Grenadines,784724223,,
Henry Torrens,Cape Colony,784726341,,
John Moore Caldicott,Rhodesian,784757829,,
John Ralph Beaumont,Rhodesian,784758963,,
Frederick Schermbrucker,Cape Colony,784765242,,
Leonard Ray Morgan,Rhodesian,784769027,,
List of Bailiffs of Guernsey,Guernsey,784770354,,
Monica Dacon,Saint Vincent and the Grenadines,784784479,,
Ngamau Munokoa,Cook Island,784786128,,
Raleigh Grey,Rhodesian,784826325,,
Petr Bendl,Czech Republic,784826685,,
Petr Gandalovič,Czech Republic,784826720,,
Richard Solomon (Attorney General),Cape Colony,784829553,,
Robert Clarkson Tredgold,Rhodesian,784830601,,
Robert James Hudson,Rhodesian,784831407,,
Terry Le Sueur,Jersey,784849252,,
Tony Longrigg,Montserratian,784856577,,
Walter Hely-Hutchinson,Cape Colony,784862369,,
William Harper (Rhodesian politician),Rhodesian,784870217,,
Deborah Barnes-Jones,Montserratian,784875662,,
Tomáš Vandas,Czech Republic,784968648,,
Rowan Cronjé,Rhodesian,784974615,,
Jamal al-Jamal,Palestinian Territory,784977752,,
Robert Mayr-Harting,Czech Republic,785085345,,
Marie Grace Augustin,Saint Lucian,785101569,,
Aziz Aliyev,Dagestani,785202362,,
Alfonso Quiñónez Molina,Salvadoran,785229840,,
Lee Hae-chan,South Korean,785317852,,
Karel Havlíček Borovský,Czech Republic,785407597,,
David Aubrey Scott,Pitcairn Islands,785508390,,
Mukhu Aliyev,Dagestani,785532389,,
Tui Manuʻa Elisala,Samoan,785553682,,
Henry White (Cape Treasurer General),Cape Colony,785566972,,
Ntfombi of Swaziland,Swaziland,785654533,,
Jamal al-Husayni,Palestinian Territory,785938135,,
Musa al-Husayni,Palestinian Territory,785938199,,
Salim al-Husayni,Palestinian Territory,785938222,,
Jorge Meléndez,Salvadoran,786063735,,
Carmen Elena Figueroa,Salvadoran,786068145,,
Jacobus Wilhelmus Sauer,Cape Colony,786142993,,
Jan Černý,Czech Republic,786162238,,
María Antonieta de Bográn,Hondura,786165176,,
Don Filleul,Jersey,786175308,,
Zakan Jugelia,Abkhazia,786203824,,
Head of the Chechen Republic,Chechen,786231010,,
Guy Powles,Tokelauan,786375181,,
Paulin Brune,French Guiana,786385007,,
Josef Frank (politician),Czech Republic,786399604,,
Felipe Codallos,Salvadoran,786492357,,
Tomás Regalado (Salvadoran politician),Salvadoran,786492366,,
Lambert Mende Omalanga,"Congo, Dem. Rep. of",786579616,,
Edgar Whitehead,Rhodesian,786601705,,
Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217,,
Henry Puna,Cook Island,786648340,,
Henry Hamilton Beamish,Rhodesian,786659504,,
Justine Kasa-Vubu,"Congo, Dem. Rep. of",786751925,,
Mata'afa,Samoan,786776338,,
Charles Lennox Stretch,Cape Colony,786803200,,
Cléophas Kamitatu,"Congo, Dem. Rep. of",786874201,,
John Tengo Jabavu,Cape Colony,786916027,,
Philip John Stigant,Cape Colony,786972727,,
Kuniwo Nakamura,Palauan,786992351,,
Augustus Asplet Le Gros,Jersey,787012860,,
Philippe Langlois,Jersey,787046159,,
Moana Ioane,Cook Island,787050138,,
Lionel Cripps,Rhodesian,787105083,,
Étienne Mentor,Martinique,787128336,,
A. R. Colquhoun,Rhodesian,787147677,,
Mairbek Sheripov,Chechen,787163671,,
Mustafa Barghouti,Palestinian Territory,787198183,,
Marguerite Story,Cook Island,787227714,,
François Amichia,Ivorian,787310676,,
Ernest Moutoussamy,Guadeloupe,787332894,,
Jean Nguza Karl-i-Bond,"Congo, Dem. Rep. of",787378464,,
Abdel Hafiz Nofal,Palestinian Territory,787385830,,
Agnethe Davidsen,Greenlandic,787423025,,
Aboubakar Diaby Ouattara,Ivorian,787437447,,
Zaki al-Ghul,Palestinian Territory,787447130,,
Oslo I Accord,Palestinian Territory,787453135,,
Polataivao Fosi,Samoan,787519332,,
Henry Pottinger,Cape Colony,787552653,,
Adam Bombolé,"Congo, Dem. Rep. of",787602247,,
Transvaal Civil War,South African Republic,787611475,,
Gerty Archimede,Guadeloupe,787680195,,
Adly Yaish,Palestinian Territory,787691185,,
Adolphe Lumanu,"Congo, Dem. Rep. of",787715913,,
Adolphe Muzito cabinet,"Congo, Dem. Rep. of",787716080,,
Justin Marie Bomboko,"Congo, Dem. Rep. of",787797355,,
John McChlery,Rhodesian,787854502,,
"Salim bin Thuwaini, Sultan of Muscat and Oman",Omani,787929352,,
Luboš Dobrovský,Czech Republic,787952395,,
Bedřich Moldan,Czech Republic,787952868,,
Diane Lewis (Guernsey legislator),Guernsey,787954113,,
Wendy Morgan (politician),Guernsey,787954138,,
Sarah Craig Ferguson,Jersey,787955357,,
Wendy Kinnard,Jersey,787955613,,
Iris Le Feuvre,Jersey,787956265,,
Judy Martin (politician),Jersey,787956300,,
Kristina Moore,Jersey,787956364,,
Susan Pinel,Jersey,787956392,,
Shona Pitman,Jersey,787956492,,
Anne Pryke,Jersey,787956513,,
Corrie Stein,Jersey,787956597,,
Tracey Vallois,Jersey,787957954,,
Attorney General of Saint Kitts and Nevis,Saint Kitts and Nevis,787971501,,
Camillo Gonsalves,Saint Vincent and the Grenadines,787976333,,
Christian Atoki Ileka,"Congo, Dem. Rep. of",787978838,,
Intissar al-Wazir,Palestinian Territory,788004334,,
Martin Palouš,Czech Republic,788015952,,
Milena Pires,East Timorese,788017619,,
Muhammad Abu Tir,Palestinian Territory,788019130,,
"Palestinian general election, 1996",Palestinian Territory,788023506,,
Paul Joseph Mukungubila Mutombo,"Congo, Dem. Rep. of",788024194,,
Protocol Concerning the Redeployment in Hebron,Palestinian Territory,788026998,,
Ferdinand Essandja,"Congo, Dem. Rep. of",788054013,,
Youssouf Bakayoko,Ivorian,788065543,,
Thomas Charles Scanlen,Cape Colony,788098639,,
Hermann Zwierzina,Czech Republic,788121309,,
Yousef al-Khalidi,Palestinian Territory,788159128,,
Eduard Zeman,Czech Republic,788178766,,
List of mayors of Nablus,Palestinian Territory,788189214,,
Clement Arrindell,Saint Kitts and Nevis,788231533,,
Médard Albrand,Guadeloupe,788239179,,
Apenera Short,Cook Island,788240713,,
Doroteo Vasconcelos,Salvadoran,788264133,,
Henry Lémery,Martinique,788271645,,
Harold Smedley,Pitcairn Islands,788318957,,
Chantal Compaoré,Ivorian,788330706,,
Saul Solomon,Cape Colony,788361321,,
Richard Bienert,Czech Republic,788410657,,
Désiré Tagro,Ivorian,788421683,,
Khalil al-Hayya,Palestinian Territory,788437086,,
Peter de Havilland,Guernsey,788446515,,
Alfredo Cristiani,Salvadoran,788447923,,
Alfredo Pires,East Timorese,788450147,,
Mamadou Koulibaly,Ivorian,788462808,,
Martin Kabwelulu,"Congo, Dem. Rep. of",788465848,,
Pascal Affi N'Guessan,Ivorian,788498433,,
Mana Strickland,Cook Island,788499686,,
President of the Palestinian National Authority,Palestinian Territory,788509815,,
Tommy Remengesau,Palauan,788566799,,
Thomas Remengesau Sr.,Palauan,788566961,,
Ngiratkel Etpison,Palauan,788567219,,
Fathi Ahmad Hammad,Palestinian Territory,788591724,,
Tony Tuimavave,Samoan,788649434,,
Alphonso Theodore Roberts,Saint Vincent and the Grenadines,788672768,,
Thomas Upington,Cape Colony,788717893,,
Alvina Reynolds,Saint Lucian,788727127,,
Alfred Almont,Martinique,788793894,,
Thierry Robert,French Guiana,788799439,,
Louis-Joseph Manscour,Martinique,788807319,,
Juliana Rimane,French Guiana,788807577,,
Joël Beaugendre,Guadeloupe,788807612,,
Hélène Vainqueur-Christophe,Guadeloupe,788810121,,
Gabrielle Louis-Carabin,Guadeloupe,788814960,,
Daniel Marsin,Guadeloupe,788815849,,
Étienne Djaument,Ivorian,788825623,,
Victor Biaka Boda,Ivorian,788825785,,
Thélus Léro,Martinique,788825794,,
Raphaël Etifier,Martinique,788825979,,
Pierre Monnerville,Guadeloupe,788826068,,
Paul Symphor,Martinique,788827072,,
Lucius-Duquesnes Gustave,Guadeloupe,788827709,,
Lucien Bernier,Guadeloupe,788827724,,
Loubo Augustin Djessou,Ivorian,788827789,,
Jules Patient,French Guiana,788827828,,
Rahila Al Riyami,Omani,788828342,,
Gaston Monnerville,French Guiana,788828507,,
Eugénie Éboué-Tell,French Guiana,788828649,,
Clovis Renaison,Guadeloupe,788828762,,
Christiane Taubira,French Guiana,788828802,,
Léopold Héder,French Guiana,788830652,,
Léon Bertrand,French Guiana,788837401,,
William (Smiley) Heather,Cook Island,788897273,,
Rose Toki-Brown,Cook Island,788897549,,
Teina Bishop,Cook Island,788898457,,
Pumati Israela,Cook Island,788899523,,
Abdullah Rimawi,Palestinian Territory,788953220,,
William Henry Bramble,Montserratian,788976365,,
Yahya Hammuda,Palestinian Territory,788988278,,
Justin Catayée,French Guiana,789009266,,
Niels Winther Poulsen,Faroese,789029085,,
Raul Eshba,Abkhazia,789039267,,
Andrej Einspieler,Carniolan,789072979,,
Václav Hampl,Czech Republic,789102318,,
Andries Stockenström (judge),Cape Colony,789120101,,
Hani al-Hassan,Palestinian Territory,789228790,,
Robert Wynyard,Cape Colony,789258720,,
Ivan Lorković,Carniolan,789263095,,
Janko Kersnik,Carniolan,789273199,,
Bjørt Samuelsen,Faroese,789306157,,
Jenis av Rana,Faroese,789307497,,
Heðin Mortensen,Faroese,789307569,,
Rasmus Effersøe,Faroese,789307632,,
Trygvi Samuelsen,Faroese,789308387,,
Eilif Samuelsen,Faroese,789308554,,
Jógvan Skorheim,Faroese,789310556,,
Alu Alkhanov,Chechen,789327678,,
Adam Delimkhanov,Chechen,789328171,,
Alexander Dzasokhov,Ossetian,789328182,,
Magomedali Magomedov,Dagestani,789329935,,
Gabriel Serville,French Guiana,789340739,,
Antipas Mbusa,"Congo, Dem. Rep. of",789437538,,
Aké Loba,Ivorian,789476691,,
Laurent Mbariko,"Congo, Dem. Rep. of",789487250,,
Jeremiah Chirau,Rhodesian,789545107,,
Miroslav Grebeníček,Czech Republic,789546047,,
Vlasta Štěpová,Czech Republic,789546066,,
Egon Lánský,Czech Republic,789546079,,
Antonín Prachař,Czech Republic,789546102,,
Milan Horálek,Czech Republic,789546147,,
Orle Solís,Hondura,789599196,,
Sergio Arturo Castellanos,Hondura,789599235,,
Hipólita Rodríguez,Hondura,789599241,,
German Leitzelar,Hondura,789599248,,
Marco Antonio Andino,Hondura,789599260,,
Lisandro Mauricio Arias,Hondura,789599265,,
José Azcona Bocock,Hondura,789599272,,
Yadira Bendaña,Hondura,789599288,,
José Rosario Bonano,Hondura,789599294,,
Romualdo Bueso Melghem,Hondura,789599300,,
Teófilo Enamorado,Hondura,789599316,,
Gabo Alfredo Jalil,Hondura,789599319,,
Eleazar Alexander Juárez,Hondura,789599323,,
Carlos Alfredo Lara Watson,Hondura,789599331,,
Wenceslao Lara Orellana,Hondura,789599336,,
Maria Aracely Leiva,Hondura,789599343,,
